CT1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filial;Cod Conta;Desc Moeda 1;Classe Conta;Cond Normal;Cod Reduzido;Cta Bloq;Dt Ini Bloq;Dt Fim Bloq;Dig Controle;Conv M2 Deb;Conv M3 Deb;Conv M4 Deb;Conv M5 Deb;Conv M2 Crd;Conv M3 Crd;Conv M4 Crd;Conv M5 Crd;Cta Superior;Hist Padrao;Aceita Item;Aceita CC;Aceita CLVL;Dt Ini Exist;Var Monet;Dt Fim Exist;Red Variacao;Lucr/Perd;Ponte LP;Conf. Livros;Grupo;Regra Nivel1;Regra Nivel2;Regra Nivel3;CC Obrigat.;Item Obrig.;CLVL Obrig.;Conta Lalur;Ajuste Conv;Class.Lalur;Hist.Lalur ?;Tipo Lalur;Cod. Rateio;Nat. Conta;Ac.Outra At?;Outr.At.Ob?;Class. Manad;SPED Sint.;Nat Cta SPED;Ativ.01 Ac.;Ativ.01 Ob.;Ativ.02 Ac.;Ativ.02 Ob.;Ativ.03 Ac.;Ativ.03 Ob.;Ativ.04 Ac.;Ativ.04 Ob.;Int. PIMS;Var Cambial?;Conta Orc.;Aceita Ent05;Obrg.Ent.05?
01;111102101;CHEQUE A COMPENSAR - ITAU - C/C Nº3212.1;Analitica;Credora;111102101;Nao Bloqueada;  /  /    ;  /  /    ;5;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102101;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111102102;CHEQUE A COMPENSAR - ITAU - C/C Nº3212.1;Analitica;Credora;111102102;Nao Bloqueada;  /  /    ;  /  /    ;3;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111102;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111102102;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;Sim;;Sim;Nao
01;111103;APLICACOES FINANCEIRAS;Sintetica;Devedora;;Nao Bloqueada;  /  /    ;  /  /    ;6;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;1111;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111103;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111103001;BANCO SANTANDER;Analitica;Devedora;111103001;Nao Bloqueada;  /  /    ;  /  /    ;4;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111103;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111103001;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111103002;BANCO RURAL;Analitica;Devedora;111103002;Nao Bloqueada;  /  /    ;  /  /    ;2;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111103;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111103002;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111103003;BANCO ITAU;Analitica;Devedora;111103003;Nao Bloqueada;  /  /    ;  /  /    ;0;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111103;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111103003;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111103004;BANCO CITIBANK;Analitica;Devedora;111103004;Nao Bloqueada;  /  /    ;  /  /    ;9;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111103;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111103004;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111103005;BANCO BRADESCO;Analitica;Devedora;111103005;Nao Bloqueada;  /  /    ;  /  /    ;7;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111103;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111103005;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111103006;BANCO ITAU LEGADO;Analitica;Devedora;3411020091;Nao Bloqueada;  /  /    ;  /  /    ;5;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111103;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111103006;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
01;111103007;CAIXA ECONOMICA FEDERAL;Analitica;Devedora;111103007;Nao Bloqueada;  /  /    ;  /  /    ;3;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;Diaria;111103;;Sim;Sim;Sim;01/01/1980;;  /  /    ;;;;;;;;;Sim;Nao;Nao;111103007;;;Não;Nao pertence;;;Nao;Nao;Ativo;;Conta de Ativo;;;;;;;;;Sim;;;Sim;Nao
